segment1	a	á	b	c	č	ç	d	e	é	f	g	h	i	í	j	ʝ	k	l	m	n	ɲ	o	ó	ö	ő	p	r	s	š	t	u	ú	ü	ű	v	z	ž
h	0.9047619047619048	0.9047619047619048	0.85	0.88	0.875	0.8695652173913043	0.9	0.9166666666666666	0.9166666666666666	0.6	0.8	0	0.9230769230769231	0.9230769230769231	0.7647058823529412	0.896551724137931	0.7692307692307692	0.7777777777777778	0.8823529411764706	0.9166666666666666	0.9166666666666666	0.9259259259259259	0.9259259259259259	0.9333333333333333	0.9333333333333333	0.8235294117647058	0.7777777777777778	0.7272727272727273	0.7272727272727273	0.88	0.92	0.92	0.9333333333333333	0.9333333333333333	0.7142857142857143	0.76	0.76
i	0.8181818181818181	0.8857142857142857	0.9736842105263158	0.9523809523809524	0.9512195121951219	0.95	0.9574468085106383	0.6	0.7647058823529412	0.9428571428571428	0.9696969696969697	0.9230769230769231	0	0.5806451612903225	0.8787878787878788	0.9565217391304348	0.967741935483871	0.8823529411764706	0.9705882352941176	0.95	0.95	0.8461538461538461	0.9024390243902439	0.6666666666666667	0.8	0.9714285714285714	0.8823529411764706	0.9	0.9	0.9523809523809524	0.7714285714285715	0.868421052631579	0.5	0.736842105263158	0.9375	0.9069767441860466	0.9069767441860466
í	0.8857142857142857	0.8181818181818181	0.9736842105263158	0.9523809523809524	0.9512195121951219	0.95	0.9574468085106383	0.7647058823529412	0.6	0.9428571428571428	0.9696969696969697	0.9230769230769231	0.5806451612903225	0	0.8787878787878788	0.9565217391304348	0.967741935483871	0.8823529411764706	0.9705882352941176	0.95	0.95	0.9024390243902439	0.8461538461538461	0.8	0.6666666666666667	0.9714285714285714	0.8823529411764706	0.9	0.9	0.9523809523809524	0.868421052631579	0.7714285714285715	0.736842105263158	0.5	0.9375	0.9069767441860466	0.9069767441860466
j	0.9333333333333333	0.9333333333333333	0.9333333333333333	0.8787878787878788	0.8387096774193549	0.8709677419354839	0.8947368421052632	0.8709677419354839	0.8709677419354839	0.8461538461538461	0.92	0.7647058823529412	0.8787878787878788	0.8787878787878788	0	0.8611111111111112	0.9130434782608696	0.44999999999999996	0.88	0.7931034482758621	0.7037037037037037	0.9444444444444444	0.9444444444444444	0.8918918918918919	0.8918918918918919	0.9259259259259259	0.44999999999999996	0.7241379310344828	0.6296296296296298	0.8787878787878788	0.9411764705882353	0.9411764705882353	0.8918918918918919	0.8918918918918919	0.8260869565217391	0.75	0.6666666666666667
ʝ	0.9761904761904762	0.9761904761904762	0.7352941176470589	0.736842105263158	0.5757575757575757	0.7222222222222222	0.48571428571428577	0.9545454545454546	0.9545454545454546	0.9210526315789473	0.6896551724137931	0.896551724137931	0.9565217391304348	0.9565217391304348	0.8611111111111112	0	0.8387096774193549	0.8947368421052632	0.8529411764705882	0.7222222222222222	0.5625	0.9791666666666666	0.9791666666666666	0.96	0.96	0.8571428571428572	0.8947368421052632	0.8571428571428572	0.8	0.736842105263158	0.9782608695652174	0.9782608695652174	0.96	0.96	0.9142857142857143	0.7560975609756098	0.6216216216216216
k	0.92	0.92	0.7727272727272727	0.72	0.7083333333333333	0.6956521739130435	0.84375	0.9655172413793104	0.9655172413793104	0.8095238095238095	0.5333333333333333	0.7692307692307692	0.967741935483871	0.967741935483871	0.9130434782608696	0.8387096774193549	0	0.9166666666666666	0.85	0.8888888888888888	0.8888888888888888	0.935483870967742	0.935483870967742	0.9714285714285714	0.9714285714285714	0.5882352941176471	0.9166666666666666	0.8571428571428572	0.8571428571428572	0.72	0.9310344827586207	0.9310344827586207	0.9714285714285714	0.9714285714285714	0.9	0.90625	0.90625
l	0.935483870967742	0.935483870967742	0.935483870967742	0.8484848484848485	0.8787878787878788	0.8387096774193549	0.868421052631579	0.875	0.875	0.8518518518518519	0.9230769230769231	0.7777777777777778	0.8823529411764706	0.8823529411764706	0.44999999999999996	0.8947368421052632	0.9166666666666666	0	0.8846153846153846	0.7142857142857143	0.8	0.9459459459459459	0.9459459459459459	0.8947368421052632	0.8947368421052632	0.9285714285714286	0.11764705882352944	0.6428571428571428	0.7333333333333334	0.8484848484848485	0.9428571428571428	0.9428571428571428	0.8947368421052632	0.8947368421052632	0.8333333333333334	0.6774193548387097	0.7575757575757576
m	0.9655172413793104	0.9655172413793104	0.5	0.90625	0.9032258064516129	0.9	0.8571428571428572	0.96875	0.96875	0.8333333333333334	0.75	0.8823529411764706	0.9705882352941176	0.9705882352941176	0.88	0.8529411764705882	0.85	0.8846153846153846	0	0.7307692307692308	0.7307692307692308	0.9411764705882353	0.9411764705882353	0.9459459459459459	0.9459459459459459	0.7142857142857143	0.8846153846153846	0.9393939393939394	0.9393939393939394	0.90625	0.9375	0.9375	0.9459459459459459	0.9459459459459459	0.6842105263157895	0.9142857142857143	0.9142857142857143
n	0.9722222222222222	0.9722222222222222	0.84375	0.7647058823529412	0.8285714285714285	0.75	0.5757575757575757	0.9473684210526316	0.9473684210526316	0.9393939393939394	0.8148148148148149	0.9166666666666666	0.95	0.95	0.7931034482758621	0.7222222222222222	0.8888888888888888	0.7142857142857143	0.7307692307692308	0	0.46153846153846156	0.9761904761904762	0.9761904761904762	0.9545454545454546	0.9545454545454546	0.9032258064516129	0.7142857142857143	0.8648648648648649	0.8947368421052632	0.7647058823529412	0.975	0.975	0.9545454545454546	0.9545454545454546	0.896551724137931	0.7837837837837838	0.8461538461538461
ɲ	0.9722222222222222	0.9722222222222222	0.84375	0.8333333333333334	0.7575757575757576	0.8235294117647058	0.7297297297297297	0.9473684210526316	0.9473684210526316	0.9393939393939394	0.8148148148148149	0.9166666666666666	0.95	0.95	0.7037037037037037	0.5625	0.8888888888888888	0.8	0.7307692307692308	0.46153846153846156	0	0.9761904761904762	0.9761904761904762	0.9545454545454546	0.9545454545454546	0.9032258064516129	0.8	0.8947368421052632	0.8648648648648649	0.8333333333333334	0.975	0.975	0.9545454545454546	0.9545454545454546	0.896551724137931	0.8461538461538461	0.7837837837837838
