segment1	segment2	dist
æ	v	0.9496402877697842
æ	ʌ	0.75
æ	w	0.945054945054945
æ	x	0.9714285714285714
æ	y	0.8585858585858586
æ	z	0.9791666666666666
æ	ž	0.9769230769230769
æ	θ	0.9806451612903225
b	ä	0.9575757575757575
b	ā	0.9810126582278481
b	æ	0.9580838323353293
b	b	0
b	c	0.7658227848101266
b	č	0.863905325443787
b	d	0.4585987261146497
b	ð	0.7431693989071038
b	e	0.9214659685863874
b	ē	0.9166666666666666
b	ɛ	0.8411764705882353
b	f	0.6927710843373494
b	g	0.6951219512195121
b	h	0.8156424581005587
b	i	0.96
b	ī	0.9585798816568047
b	ɨ	0.9824561403508771
b	ʝ	0.7891566265060241
b	k	0.8057142857142857
b	l	0.7888198757763976
b	m	0.4409448818897638
b	n	0.6298342541436464
b	ŋ	0.8200000000000001
b	o	0.9602272727272727
b	O	0.9810126582278481
b	ō	0.9585798816568047
b	œ	0.9551282051282052
b	ɔ	0.9810126582278481
b	p	0.40816326530612246
b	r	0.7888198757763976
b	s	0.6783216783216783
b	š	0.8961748633879781
b	t	0.6481481481481481
b	u	0.9823529411764705
b	ū	0.9817073170731707
b	v	0.5562913907284768
b	ʌ	0.9621621621621621
b	w	0.9565217391304348
b	x	0.851063829787234
b	y	0.9117647058823529
b	z	0.7556818181818181
b	ž	0.848314606741573
b	θ	0.7431693989071038
c	ä	0.9745762711864406
c	ā	0.9908256880733946
c	æ	0.975
c	b	0.7658227848101266
c	c	0
c	č	0.5612244897959184
c	d	0.6549295774647887
c	ð	0.6439393939393939
c	e	0.9527027027027027
c	ē	0.948905109489051
c	ɛ	0.9022556390977443
c	f	0.6719999999999999
c	g	0.9276315789473684
c	h	0.8972602739726028
c	i	0.9765625
c	ī	0.9754098360655737
c	ɨ	0.9918032786885246
c	ʝ	0.728813559322034
c	k	0.9027777777777778
c	l	0.8387096774193549
c	m	0.8240000000000001
c	n	0.7531645569620253
c	ŋ	0.95
c	o	0.9767441860465116
c	O	0.9908256880733946
c	ō	0.9754098360655737
c	œ	0.9724770642201834
c	ɔ	0.9908256880733946
c	p	0.6642335766423357
c	r	0.8387096774193549
c	s	0.7454545454545455
c	š	0.73109243697479
c	t	0.41509433962264153
c	u	0.9917355371900827
c	ū	0.991304347826087
c	v	0.7537313432835822
c	ʌ	0.9782608695652174
c	w	0.9736842105263158
c	x	0.9285714285714286
c	y	0.9448818897637795
c	z	0.656
c	ž	0.8062015503875969
c	θ	0.6439393939393939
č	ä	0.9739130434782609
č	ā	0.9905660377358491
č	æ	0.9743589743589743
č	b	0.863905325443787
č	c	0.5612244897959184
č	č	0
č	d	0.8176100628930818
č	ð	0.8108108108108107
č	e	0.9517241379310345
č	ē	0.9477611940298507
č	ɛ	0.8828125
č	f	0.8188405797101449
č	g	0.8405797101449275
č	h	0.8794326241134752
č	i	0.9243697478991597
č	ī	0.9203539823008849
č	ɨ	0.9655172413793104
č	ʝ	0.4526315789473684
č	k	0.7795275590551181
č	l	0.9153846153846154
č	m	0.9007633587786259
č	n	0.8654970760233918
č	ŋ	0.8715596330275229
č	o	0.9761904761904762
č	O	0.9905660377358491
č	ō	0.9747899159663865
č	œ	0.9716981132075472
č	ɔ	0.9905660377358491
č	p	0.8079470198675497
č	r	0.9153846153846154
č	s	0.865546218487395
č	š	0.4421052631578948
č	t	0.7109375
č	u	0.9652173913043478
č	ū	0.963302752293578
č	v	0.8611111111111112
č	ʌ	0.9777777777777777
č	w	0.9142857142857143
č	x	0.8428571428571429
č	y	0.8303571428571428
č	z	0.8214285714285714
č	ž	0.6146788990825688
č	θ	0.8108108108108107
d	ä	0.9818181818181818
d	ā	0.9935897435897436
d	æ	0.9820359281437125
d	b	0.4585987261146497
d	c	0.6549295774647887
d	č	0.8176100628930818
d	d	0
d	ð	0.6467065868263473
d	e	0.9641025641025641
d	ē	0.9619565217391304
d	ɛ	0.9277777777777778
d	f	0.8296703296703296
d	g	0.8135593220338984
d	h	0.8936170212765957
d	i	0.9828571428571429
d	ī	0.9822485207100592
d	ɨ	0.9940828402366864
d	ʝ	0.6866666666666666
d	k	0.8858695652173914
d	l	0.6827586206896552
d	m	0.6891891891891893
d	n	0.40522875816993464
d	ŋ	0.891025641025641
d	o	0.9829545454545454
d	O	0.9935897435897436
d	ō	0.9822485207100592
d	œ	0.9807692307692307
d	ɔ	0.9935897435897436
d	p	0.6705202312138728
d	r	0.6827586206896552
d	s	0.48360655737704916
d	š	0.8685714285714285
d	t	0.4642857142857143
d	u	0.9940476190476191
d	ū	0.9938271604938271
d	v	0.7485380116959064
d	ʌ	0.9837837837837837
d	w	0.9813664596273292
d	x	0.9128205128205128
d	y	0.9597701149425287
d	z	0.6217948717948718
d	ž	0.7891566265060241
d	θ	0.6467065868263473
ð	ä	0.9803921568627451
ð	ā	0.9930555555555556
ð	æ	0.9806451612903225
ð	b	0.7431693989071038
ð	c	0.6439393939393939
ð	č	0.8108108108108107
ð	d	0.6467065868263473
ð	ð	0
ð	e	0.9617486338797814
ð	ē	0.9593023255813954
ð	ɛ	0.9226190476190477
ð	f	0.6232876712328768
ð	g	0.9060773480662984
ð	h	0.7435897435897436
ð	i	0.9815950920245399
ð	ī	0.9808917197452229
ð	ɨ	0.9936305732484076
ð	ʝ	0.8580246913580247
ð	k	0.877906976744186
ð	l	0.6934306569343065
ð	m	0.8258064516129032
ð	n	0.4429530201342282
ð	ŋ	0.9407894736842105
ð	o	0.9817073170731707
ð	O	0.9930555555555556
ð	ō	0.9808917197452229
ð	œ	0.9791666666666666
ð	ɔ	0.9930555555555556
ð	p	0.6459627329192547
ð	r	0.6934306569343065
ð	s	0.7642857142857142
ð	š	0.6993006993006994
ð	t	0.45038167938931295
ð	u	0.9935897435897436
ð	ū	0.9933333333333333
ð	v	0.729559748427673
ð	ʌ	0.9826589595375722
ð	w	0.9798657718120806
ð	x	0.8023952095808383
ð	y	0.9567901234567902
ð	z	0.6283783783783784
ð	ž	0.7884615384615384
ð	θ	0
e	ä	0.693069306930693
e	ā	0.8476190476190476
e	æ	0.5274725274725275
e	b	0.9214659685863874
e	c	0.9527027027027027
e	č	0.9517241379310345
e	d	0.9641025641025641
e	ð	0.9617486338797814
e	e	0
e	ē	0.38541666666666663
e	ɛ	0.5462962962962963
e	f	0.9074074074074074
e	g	0.9454545454545454
e	h	0.9113924050632911
e	i	0.5360824742268041
e	ī	0.6796116504854368
