var_p	var_s	variation	string	resp1	resp2	log_odds	gcm
2	0.7	hotelban/hotelben	činték	4	25	-1.6486586255873816	0.5335222395086464
2	0.7	hotelban/hotelben	čodeg	10	16	-0.4353180712578455	0.4945494430525499
2	0.7	hotelban/hotelben	čubléṉ	17	10	0.49247648509779424	0.5224120489598079
2	0.7	hotelban/hotelben	dábeḏ	4	23	-1.5686159179138452	0.49407151515045583
2	0.7	hotelban/hotelben	dajrenš	4	23	-1.5686159179138452	0.48767779487882784
2	0.7	hotelban/hotelben	dalenc	9	17	-0.587786664902119	0.4992076918593623
2	0.7	hotelban/hotelben	danét	19	7	0.9162907318741552	0.553507801203464
2	0.7	hotelban/hotelben	darhén	24	3	1.8325814637483104	0.5397627672634293
2	0.7	hotelban/hotelben	dibez	2	24	-2.120263536200091	0.5012884864434559
2	0.7	hotelban/hotelben	dihej	1	28	-2.6741486494265287	0.51081020118145
2	0.7	hotelban/hotelben	dinelt	3	26	-1.9095425048844383	0.47796254434550456
2	0.7	hotelban/hotelben	dingec	3	26	-1.9095425048844383	0.48858239875727694
2	0.7	hotelban/hotelben	dóbem	6	23	-1.2321436812926323	0.49530019944056614
2	0.7	hotelban/hotelben	dorzéj	12	14	-0.1431008436406733	0.5212273630822581
2	0.7	hotelban/hotelben	dunkés	15	12	0.20763936477824457	0.5218412877745442
2	0.7	hotelban/hotelben	dutec	6	21	-1.1451323043030026	0.5099737974503634
2	0.7	hotelban/hotelben	fádenš	6	21	-1.1451323043030026	0.48150284459234666
2	0.7	hotelban/hotelben	fáḏép	13	14	-0.06899287148695143	0.54448649614393
2	0.7	hotelban/hotelben	fájéz	19	10	0.5978370007556204	0.5482454375578936
2	0.7	hotelban/hotelben	fincek	4	22	-1.5260563034950494	0.5048991107082434
2	0.7	hotelban/hotelben	fizend	1	25	-2.5649493574615367	0.4954640070915557
2	0.7	hotelban/hotelben	fojleḏ	1	28	-2.6741486494265287	0.4821239709821212
2	0.7	hotelban/hotelben	forzéd	13	16	-0.1941560144409575	0.5227332805750488
2	0.7	hotelban/hotelben	fupét	12	17	-0.325422400434628	0.5480039766207424
2	0.7	hotelban/hotelben	gábéd	20	7	0.965080896043587	0.5439195932759787
2	0.7	hotelban/hotelben	garcép	14	15	-0.06453852113757118	0.5417311563248771
2	0.7	hotelban/hotelben	gicéj	1	25	-2.5649493574615367	0.5608045123180869
2	0.7	hotelban/hotelben	gihest	2	27	-2.2335922215070942	0.4953743046838408
2	0.7	hotelban/hotelben	gonsék	9	18	-0.6418538861723948	0.5221968346228086
2	0.7	hotelban/hotelben	gótem	5	21	-1.2992829841302609	0.5054967284457704
2	0.7	hotelban/hotelben	gúden	2	27	-2.2335922215070942	0.5075085746577301
2	0.7	hotelban/hotelben	háḏét	13	13	0	0.5422265784072885
2	0.7	hotelban/hotelben	hijeḏ	3	24	-1.8325814637483104	0.5086721146500207
2	0.7	hotelban/hotelben	hivép	4	23	-1.5686159179138452	0.5471384676834078
2	0.7	hotelban/hotelben	hóbenš	5	22	-1.3437347467010947	0.48247527978422344
2	0.7	hotelban/hotelben	hošét	14	13	0.06899287148695142	0.5422517042125037
2	0.7	hotelban/hotelben	humék	13	13	0	0.5574781235767009
2	0.7	hotelban/hotelben	iksert	0	29	-3.4011973816621555	0.4902686347453888
2	0.7	hotelban/hotelben	incéj	2	25	-2.159484249353372	0.556802350236639
2	0.7	hotelban/hotelben	ítenš	4	25	-1.6486586255873816	0.4979870732518415
2	0.7	hotelban/hotelben	jábéz	16	13	0.1941560144409574	0.5416824464660698
2	0.7	hotelban/hotelben	jalréṉ	13	14	-0.06899287148695143	0.5379524128942619
2	0.7	hotelban/hotelben	jóbec	8	21	-0.8938178760220964	0.5059882275868152
2	0.7	hotelban/hotelben	jorzég	10	17	-0.49247648509779407	0.5210760004448036
2	0.7	hotelban/hotelben	júder	10	19	-0.5978370007556204	0.5061700530901716
2	0.7	hotelban/hotelben	jukél	12	15	-0.2076393647782445	0.5437041934414858
2	0.7	hotelban/hotelben	jurdent	7	19	-0.916290731874155	0.4672450827966502
2	0.7	hotelban/hotelben	jutéj	19	8	0.7985076962177716	0.5608312280749849
